Problem,Category,Confidence Score
"Keine Funktion mehr, da CD nicht mehr ausgeworfen wird. Nach demontage und öffnen des Blue-Ray Player konnte CD entnommen werden, jedoch die mechanik war offensichtlich zu kompliziert, dass beim zusammenbay die richtige Ursprungsposition nicht gefunden wurde.",Missing Parts,0.10681607574224472
"Wasser läuft an der Brüheinheit vorbei. Nach mehreren Tassen Kaffee ist der innere Bereich der Brüheinheit voller Wasser. Versucht, Dichtungen die als Ersatzteil bestellt wurden zu erneuern. Leider passten nicht alle. Eine Dichtung am Auslaufstutzen schien undicht, da dort das meiste Wasser nach Brühvorgang heraustropfte.",Missing Parts,0.09968316555023193
Temperatur läßt sich nicht mehr regeln. Mechanik des Biemetalls justiert.,Lubrication/Maintenance Needed,0.07509565353393555
Wassersprudler sprudelt nicht mehr. - Druckventil ist defekt. [HE] {Helmut G.},Missing Parts,0.11936135590076447
Haarglätter funktioniert seit Sturz auf Boden nicht mehr. - Heizelement defekt. Reparatur nicht rentabel. [HE] {Ha-Jo W.},Missing Parts,0.1258324235677719
"Akku-Heckenschere funktioniert nicht mehr. Bitte Akku prüfen. - Zellen im punktgeschweissten Akkublock defekt. Besucher an ""Akku-Doktor"" verwiesen. [GE] {Hauke S.} {Karsten B.}",Missing Parts,0.3129318654537201
Start-Mechanik funktioniert nicht. - Irgendwo in Mechanik ist ein wichtiges aber winziges Teil defekt oder fehlt ganz. [UE] {Günter S.},Unknown/Unspecified Problem,0.1328020542860031
"Keine Funktion, evtl. Netzteil defekt. - Stromanschlussbuchse defekt. Besitzer besorgt Buchse. [UE] {Hauke S.}",Missing Parts,0.13187339901924133
Leuchtstoffröhre mit Fassung - Zündet nicht mehr. - Beide Starter sind defekt. Besucher bestellt und tauscht selbst aus. [HE] {Peter V.},Missing Parts,0.4334423542022705
Funktioniert nicht mehr. - Nach ersteer Diagnose dürfte die Leistungselöektronikbaugruppe im Schnittkopf defekt sein. Besucherin kümmert sich um Ersatzteil. [GE] {Günter S.} {Dirk S.},Missing Parts,0.24803651869297028
Elektromotor läuft nicht mehr. - Kohlenschleifer sind abgenutzt. Reparateur bestellt Kohlen. [GE] {Hauke S.},Missing Parts,0.16706445813179016
Kein Ton. - Gerät geprüft. Kein Fehler feststellbar. Lautsprecher waren ausgeschalten. [UE] {Ha-Jo W.},Missing Parts,0.1614253669977188
Auszug der Teleskopstange ist defekt. - Stangenauszugmechanik repariert. [GGM] {n/a},Missing Parts,0.2519839406013489
Bekommt keinen Strom. - Neues Netzkabel eingebaut. [HE] {M. Rück},Power Failure,0.13956360518932343
Besucher wünscht Beratungsgespräch. - Besucher ausführlich beraten. [UE] {Günter S.},Incorrect Assembly,0.07255574315786362
Netzkabel defekt. - Vorhandenes Netzkabel eingekürzt und wieder angeschlossen. [HE] {Kai W.} {Martin R.},Missing Parts,0.1932840347290039
"Plattenteller dreht nicht und es kommt kein Ton. - Alter Antriebsriemen war aufgelöst, neuer Riemen lag bei. Laufflächen gereinigt, neuen Riemen aufgezogen. Teller dreht. Unterbrechung in Audio-Leitung. Besucher repariert selbst. [UE] {Günter S.}",Audio/Sound Problems,0.194025918841362
Nadel vom Plattenspieler rutscht über Platte. - Abtastnadel wurde während esines Transports beschädigt. Web-Link zu Ersatzteil besorgt. Besucher bestellt und baut selbst ein. [UE] {Günter S.},Missing Parts,0.2122584581375122
Leuchtet nicht mehr. - Unterbrechung beseitigt. [HE] {Peter V.},Wear and Tear/End of Life,0.14469362795352936
Bitte Ersatzteil tauschen. - Von Besucher mitgebrachtes Ersatzteil getauscht. [HE] {Peter V.},Missing Parts,0.1663457304239273
"Ladeanschluss hat Wackelkontakt. - Buchse gereinigt, Fehler nicht reproduzierbar. Allerdings war Akku komplett entladen. Besucher testet daheim. [UE] {Dirk S.}",Remote Control or Signal Transmission Issue,0.07832231372594833
"Unterspule klemmt. - Verwickelten, festsitzenden Unterfaden aus Unterspulengehäuse heraus gelöst. [HE] {Irene M.}",Missing Parts,0.2566300332546234
"Funktioniert nicht mehr. - Funktioniert mit Batterien, aber nicht mit Netzteil. Netzteil ist ok. Anschlussbuchse für Netzteil repariert. [UE] {Günter S.}",Missing Parts,0.2158059924840927
Kurzschluss im Toaster. - Heizdraht ist auf 5 cm Länge durchgebrannt. Totalschaden! [HE] {n/a},Incorrect Assembly,0.07615497708320618
Kabel am Kollektor hat sich gelöst. - Gerät ist in und für China produziert. Hat keinerlei EU-Sicherheitskennzeichen oder -Zulassung. REPARATUR ABGELEHNT! [WE] {Dirk S.},Incorrect Assembly,0.34769779443740845
Gerät hat keine Saugleistung.,Unknown/Unspecified Problem,0.14617931842803955
FI Schlater löst beim Betrieb aus.,Incorrect Assembly,0.0766010507941246
gerät funktioniert nicht mehr.,Unknown/Unspecified Problem,0.1032746210694313
"Bügelplatte ist lose, wackelt.",Missing Parts,0.17088903486728668
"Deko Leuchtturm, Licht brennt nicht mehr und der Spiegel dreht sich nicht mehr.",Missing Parts,0.6216409206390381
beim Bühvorgang läuft immer zu viel Wasser in die Tropfschale.,Liquid/Water Damage,0.3152042031288147
kurz nach einem Reset des Gerätes bricht die Kommunikation mit dem Funk Außenfühler ab.,Audio/Sound Problems,0.09667980670928955
"der Akku ist voll, das Gerät läuft aber nicht.",Missing Parts,0.31259453296661377
ist stumpf.,Missing Parts,0.13857059180736542
Kabel ist rausgerissen.,Missing Parts,0.11366526782512665
"Funktioniert nicht - Strom geht rein, aber nicht raus.",Motor/Drive Issues,0.12439487129449844
klappert beim Betrieb.,Lubrication/Maintenance Needed,0.05441552400588989
"Kundin hat eine neue Brüheinheit gekauft, trotzdem keine Funktion.",Missing Parts,0.2422264814376831
Gerät hat keinen Empfang.,Unknown/Unspecified Problem,0.13618892431259155
Kurzschluß.,Physical/Structural Damage,0.07167015224695206
ohne Funktion.,Excessive Noise/Vibration,0.14077025651931763
Fhlermeldung: Speicher ist voll.,Incorrect Assembly,0.1386791318655014
Bitte umrüsten von Neon auf LED.,Display/Screen Issues,0.08818945288658142
Kabel ist lose.,Missing Parts,0.087012879550457
Kabel ist lose.,Missing Parts,0.087012879550457
Schieber hält nicht unten. Heizwendel unterbrochen.,Missing Parts,0.23211634159088135
"Nach einer kürzeren Betriebszeit von mehreren Minuten stieg der Ableitstrom der Mikrowelle an, so dass ein vorgelagerter Fehlerstromschutzschalter auslöste. Nach mehreren Tests stellten wir fest, das die obere Heizung während des Rotglühens einen schleichenden Isolationsfehler aufweist. Das bedauerlicherweise diese Heizung als Ersatzteil nicht mehr lieferbar ist, baten wir unserem Gast, diese Mirkowelle zu entsorgen. Bedauerlicherweise konnten wir in diesem Fall nicht mehr helfen.",Unknown/Unspecified Problem,0.09554415196180344
"geht nicht mehr an. Ursache: Kontakt an der Buchse des Netzteilsteckers geht nicht mehr. Da das Gerät nur mit Batterien betrieben wird, sollten wir den Schaltkontakt überbrücken. Dazu war aber die komplette Demontage erforderlich. Der Zusammenbau zeigte sich schwieriger als erwartet. Soll in einem Folge-RC weiter geführt werden.",Battery/Charging Issues,0.10267049819231033
CD wird nicht erkannt. Nach Diagnose wird folgender Fehler gefunden: Der Laser des CD-Laufwerks ist ohne Funktion. Leider keine Maßnahme greifbar für dieses Problem.,Unknown/Unspecified Problem,0.2931848168373108
funktioniert nicht mehr.,Unknown/Unspecified Problem,0.07399670779705048
